YearWeek,Percentage,State,Entropy,Actions,stat_code,act_code
2021_3,5.61167227833895,very_low,4.65107327009462,high,0,2
2021_30,12.5,low,4.85196580473432,high,1,2
2021_31,20.8074534161491,medium,4.18123952667239,high,2,2
2021_32,25,medium,4.0471369462354,high,2,2
2021_33,17.4434087882823,low,4.27388135391549,high,1,2
2021_34,14.5714285714286,low,4.36122616663875,high,1,2
2021_35,14.4249512670565,low,4.57939468333602,high,1,2
2021_36,9.48948948948949,very_low,4.6277921101068,high,0,2
2021_38,4.81481481481481,very_low,4.64537895133532,high,0,2
2021_39,7.97101449275362,very_low,4.73000473084824,high,0,2
2021_4,6.02549246813441,very_low,5.00381528977067,high,0,2
2021_40,5.65789473684211,very_low,4.86859202138237,high,0,2
2021_41,9.39306358381503,very_low,4.70772458795501,high,0,2
2021_42,10.0502512562814,low,4.77335763515807,high,1,2
2021_43,9.64995269631031,very_low,4.85112762519954,high,0,2
2021_44,11.6957104557641,low,5.68778466522186,high,1,2
2021_45,12.4044180118946,low,4.79109514712229,high,1,2
2021_46,8.48595848595849,very_low,5.47968808920688,high,0,2
2021_47,6.64767331433998,very_low,5.1940739601271,high,0,2
2021_48,15.2542372881356,low,4.85482962184575,high,1,2
2021_49,12.0192307692308,low,4.72234982136819,high,1,2
2021_51,8.81542699724518,very_low,3.94744673440122,medium,0,1
2021_52,41.5094339622641,high,3.38179855707748,medium,3,1
2021_53,18.2222222222222,low,2.88946191250464,low,1,0
2021_6,6.6759388038943,very_low,4.81735673585261,high,0,2
2021_7,9.24750679963735,very_low,4.11193948109501,high,0,2
2021_8,9.75609756097561,very_low,4.70678348663137,high,0,2
2021_9,14.3155694879833,low,4.70016615086793,high,1,2
2022_11,2.5609756097561,very_low,4.84661010534311,high,0,2
2022_12,10.5626850937808,low,4.27721408149258,high,1,2
2022_13,8.24915824915825,very_low,4.59583266482298,high,0,2
2022_14,8.4299732381802,very_low,4.85460414426121,high,0,2
2022_15,18.0469715698393,low,4.68499179787432,high,1,2
2022_16,16.7058823529412,low,4.69905255907848,high,1,2
2022_17,4.98281786941581,very_low,4.9159565648433,high,0,2
2022_18,9.03490759753593,very_low,4.81194975916709,high,0,2
2022_19,7.85714285714286,very_low,4.73130972528987,high,0,2
2022_2,2.32919254658385,very_low,4.60171396278032,high,0,2
2022_20,5.44959128065395,very_low,5.0033929000217,high,0,2
